movie_id,movie_name,description,release_date,rating,genre,votes,top_5_actors,director,poster_url
tt26229612,The Diplomat,"An Indian diplomat who tries to repatriate an Indian girl from Pakistan, where she was presumably forced and deceived into marrying against her will.",2025,7.2,"Legal Drama, Political Drama, Political Thriller, Drama, Thriller",9000.0,"John Abraham, Sadia Khateeb, Kumud Mishra, Sharib Hashmi, Amitoj Mann",Shivam Nair,"https://m.media-amazon.com/images/M/MV5BZjUyZDM4OGMtMmQ3OS00OThlLWE0ODItN2Y2Njk1NTQyNDU5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt3562110,Kesari Chapter 2: The Untold Story of Jallianwala Bagh,"A dramatization of the life story of C. Sankaran Nair, the lawyer who fought for the truth behind the Jallianwala Bagh massacre.",2025,8.3,"Docudrama, Legal Drama, Period Drama, Biography, Drama, History",6700.0,"Akshay Kumar, Madhavan, Ananya Panday, Mark Bennington, Steven Hartley",Karan Singh Tyagi,"https://m.media-amazon.com/images/M/MV5BZTBjMzU2ODUtOTIyZC00NGJhLWE1MWItYTVkYzQ0ZWEyYTFlXkEyXkFqcGc@._V1_QL75_UY281_CR18,0,190,281_.jpg"
tt27162102,The Bhootnii,"St Vincent college has a tree in their compound known as Virgin tree,which is worshiped by lovers during Valentines day. But it also has another side of story of being haunted where in a witch lives on it and has taken lives of several young man.Shantanu one of the students is ditched by his lover on the valentine's day in a drunken state he reaches near the tree and sees visions of the witch and attempts suicide but gets saved by his friends.Ananya and Shantanu secretly love each other but have never expressed and are just friends , during a college festival another student attempts suicide and college decides to get a solution out of it.The management invites Dr Krishna Tripathy better known as Baba who can fight demons with modern techniques.Shantanu comes across a beautiful women Mohabbat and starts drifting away from Ananya,Mohabbat in reality is the witch who has fallen in love with Shantanu and wants to take him along. Mohabbat attacks Shantanu and Ananya on different occasions but Baba saves them on time and also survives her attack.Baba goes into the depth of his psychology and realizes that Mohabbat is different kind of soul and wont let Shantanu and Ananya be one and in order to stop her he starts digging her past.",2025,6.5,"Action, Comedy, Horror",10000.0,"Sanjay Dutt, Sunny Singh, Mouni Roy, Palak Tiwari, Aasif Khan","Sidhaant Sachdev, Manoj Shidheshwari Tiwari","https://m.media-amazon.com/images/M/MV5BYmI5ZDZkNmMtNDg5ZS00NjI0LWE5NTItOGJkZjhiZmQ5ZGViXkEyXkFqcGc@._V1_QL75_UY281_CR18,0,190,281_.jpg"
tt27540217,Good Bad Ugly,"A fearless don tries to change his ruthless ways and violent past to live peacefully with his family. However, his dark past continues to haunt him. He faces it head-on and overcomes it.",2025,6.0,"Gangster, Action, Crime, Drama, Thriller",9700.0,"Trisha Krishnan, Ajith Kumar, Simran, Priya Prakash Varrier, Arjun Das",Adhik Ravichandran,"https://m.media-amazon.com/images/M/MV5BZTViMDEwZjgtMjEzZS00YWQ1LWI0ODctMWIzNTE4Y2Y5Y2Y2XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt31529147,Odela 2,"In a remote village, steeped in rich cultural heritage and age-old traditions, its true saviour Odela Mallanna Swamy always protects his village from evil forces.",2025,5.9,"Adventure, Crime, Drama, Thriller",5100.0,"Tamannaah Bhatia, Hebah Patel, Vasishta N. Simha, Murli Sharma, Srikanth Iyengar",Ashok Teja,"https://m.media-amazon.com/images/M/MV5BZGM1N2ZiZTYtNDA5MS00NmE5LThhYzctNWNhMDdjOGMwNGQ0XkEyXkFqcGc@._V1_QL75_UY281_CR11,0,190,281_.jpg"
tt27843798,Jewel Thief: The Heist Begins,A master thief accepts a mission to steal the legendary African Red Sun diamond. What begins as a meticulously planned heist spirals into a dangerous game of double-crosses and shifting loyalties.,2025,4.1,"Action, Adventure, Thriller",3400.0,"Jaideep Ahlawat, Gagan Arora, Ivana Brcan, Shaji Chaudhary, Nikita Dutta","Robbie Grewal, Kookie Gulati","https://m.media-amazon.com/images/M/MV5BOWM5ZGVkNjItZDg0MC00YjIwLTkyNjEtYjdlMGM2Mjc4ODFmXkEyXkFqcGc@._V1_QL75_UY281_CR18,0,190,281_.jpg"
tt32223398,Jaat,"In this Hindi-language action thriller, an elite Indian government operative is sent to Sri Lanka to bring down a ruthless terrorist whose activities are financed by crime.",2025,6.6,"Action Epic, One-Person Army Action, Action, Drama, Thriller",6100.0,"Sunny Deol, Randeep Hooda, Regena Cassandrra, Saiyami Kher, Vineet Kumar Singh",Gopichand Malineni,"https://m.media-amazon.com/images/M/MV5BOTdlYWNiMzQtMTViMS00NmU2LWFkZmItMzQ2MDdkZGUyZjBkXkEyXkFqcGc@._V1_QL75_UY281_CR18,0,190,281_.jpg"
tt27922706,Chhaava,"A historical drama based on the life of Chhatrapati Sambhaji Maharaj, the son of Chhatrapati Shivaji Maharaj.",2025,7.3,"Action Epic, Costume Drama, Epic, Historical Epic, One-Person Army Action, Period Drama, Tragedy, Action, Drama, History",31700.0,"Vicky Kaushal, Akshaye Khanna, Rashmika Mandanna, Ashutosh Rana, Divya Dutta",Laxman Utekar,"https://m.media-amazon.com/images/M/MV5BYTEwNzYxNWEtZTk4Yy00NzEzLTgzZjEtYWQ0YzE2YjI3OTRkXkEyXkFqcGc@._V1_QL75_UY281_CR18,0,190,281_.jpg"
tt28007064,Superboys of Malegaon,"The journey of an aspiring filmmaker as he bands together his group of friends to make a film for his town, Malegaon.",2024,7.8,"Comedy, Drama",4300.0,"Adarsh Gourav, Shashank Arora, Vineet Kumar Singh, Anuj Singh Duhan, Iqbal Shaikh",Reema Kagti,"https://m.media-amazon.com/images/M/MV5BNTllODgyODEtMTk4Zi00YzRlLWEzNDUtMjAwYmZiMDk2MTkxXkEyXkFqcGc@._V1_QL75_UY281_CR18,0,190,281_.jpg"
tt1187043,3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",2009,8.4,"Buddy Comedy, Coming-of-Age, Quirky Comedy, Comedy, Drama",458600.0,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi, Kareena Kapoor",Rajkumar Hirani,"https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg"
